Include On Export,Export Containing Keywords,Export Synonyms,Person Type Keyword,
Y,Y,Y,N,aerial
Y,Y,Y,N,Allan
Y,Y,Y,N,Allan White
Y,Y,Y,N,Autumn
Y,Y,Y,N,avatar
Y,Y,Y,N,baptism
Y,Y,Y,N,beach
Y,Y,Y,N,birthdays
Y,Y,Y,N,camp
Y,Y,Y,N,Camp Yamhill
Y,Y,Y,N,Cannon Beach
Y,Y,Y,N,Cash
Y,Y,Y,N,Cash Mountain
Y,Y,Y,N,Cash Mtn
Y,Y,Y,N,chrome
Y,Y,Y,N,Columbia Gorge
Y,Y,Y,N,Connor
Y,Y,Y,N,Connor White
Y,Y,Y,N,events
Y,Y,Y,N,Fall
Y,Y,Y,N,family
Y,Y,Y,N,Fiona
Y,Y,Y,N,Fiona White
Y,Y,Y,N,Flickr
Y,Y,Y,N,flora
Y,Y,Y,N,flowers
Y,Y,Y,N,food
Y,Y,Y,N,Friends
Y,Y,Y,N,garden
Y,Y,Y,N,Glenn Cash
Y,Y,Y,N,Grandma Rose
Y,Y,Y,N,groups
Y,Y,Y,N,hikes
Y,Y,Y,N,kids
Y,Y,Y,N,Kristi
Y,Y,Y,N,Kristi White
Y,Y,Y,N,landscapes
Y,Y,Y,N,Lost Lake
Y,Y,Y,N,Mike's House
Y,Y,Y,N,Moon
Y,Y,Y,N,mountains
Y,Y,Y,N,Mt
Y,Y,Y,N,	 Hood
Y,Y,Y,N,Mt. Hood
Y,Y,Y,N,Oregon
Y,Y,Y,N,outdoors
Y,Y,Y,N,Patrick Cash
Y,Y,Y,N,phone-scan
Y,Y,Y,N,Phyllis
Y,Y,Y,N,Phyllis Cash
Y,Y,Y,N,play
Y,Y,Y,N,portraits
Y,Y,Y,N,red-eye
Y,Y,Y,N,school
Y,Y,Y,N,siblings
Y,Y,Y,N,Sierra Cash
Y,Y,Y,N,Spring
Y,Y,Y,N,stars
Y,Y,Y,N,Summer
Y,Y,Y,N,sunset
Y,Y,Y,N,sunsets
Y,Y,Y,N,travel
Y,Y,Y,N,Trinity
Y,Y,Y,N,Trinity White
Y,Y,Y,N,waterfalls
Y,Y,Y,N,wildflowers
